bank_name,tenure,gen_rate,annualised_gen_rate,sr_rate,annualised_sr_rate,super_sr_rate,annualised_super_sr_rate,threshold_amt
Tamilnad Mercantile Bank,2 years to less than 3 years,6.75%,,7.25%,,,,30000000
Tamilnad Mercantile Bank,3 years to 10 years,6.50%,,7.00%,,,,30000000
IDBI Bank,07-30 days,3.00%,,3.50%,,,,30000000
IDBI Bank,31-45 days,3.25%,,3.75%,,,,30000000
IDBI Bank,46- 60 days,4.50%,,5.00%,,,,30000000
IDBI Bank,61- 90 days,4.75%,,5.25%,,,,30000000
IDBI Bank,91 days to 6 months,5.50%,,6.00%,,,,30000000
IDBI Bank,6 months 1 day to 270    Days,6.00%,,6.50%,,,,30000000
IDBI Bank,271 days to < 1 year                                                  (except 300 Days),6.25%,,6.75%,,,,30000000
IDBI Bank,"1 Year to 2 Years                                                    (except 375 Days,444 Days & 700 Days)",6.80%,,7.30%,,,,30000000
IDBI Bank,> 2 Years to <3years,7.00%,,7.50%,,,,30000000
IDBI Bank,3 years to 5 years,6.50%,,7.00%,,,,30000000
IDBI Bank,>5 years to 10 years,6.25%,,6.75%,,,,30000000
IDBI Bank,>10 years to 20 years$,4.80%,,5.30%,,,,30000000
IDBI Bank,5    Years,6.50%,,7.00%,,,,30000000
Capital Small Finance Bank,15 Days to 30 Days,3.50%,,4.00%,,,,30000000
Capital Small Finance Bank,31 Days to 45 Days,3.50%,,4.00%,,,,30000000
Capital Small Finance Bank,46 Days to 89 Days,4.00%,,4.50%,,,,30000000
Capital Small Finance Bank,90 Days to 179 Days,4.75%,,5.25%,,,,30000000
Capital Small Finance Bank,180 Days to less than 1 Year,5.50%,,6.00%,,,,30000000
Capital Small Finance Bank,1 Year to less than 5 Years,7.15%,,7.65%,,,,30000000
Capital Small Finance Bank,5 Years and upto 10 Years,7.10%,,7.60%,,,,30000000
Capital Small Finance Bank,12 Months,7.50%,,8.00%,,,,30000000
Capital Small Finance Bank,400 Days,7.55%,,8.05%,,,,30000000
